time,open,high,low,close
2010-04-20 07:00:00,2032.84083249,2042.59721967,2026.98700018,2041.42645321
2010-04-21 07:00:00,2054.30488428,2055.86590623,2022.30393434,2022.30393434
2010-04-22 07:00:00,2021.52342336,2036.54825962,2006.10833162,2006.10833162
2010-04-23 07:00:00,2027.37725567,2054.50001203,2026.5967447,2040.25568675
2010-04-26 07:00:00,2048.84130746,2058.20743915,2048.45105198,2053.32924556
2010-04-27 07:00:00,2051.96335136,2054.89026751,2014.49882459,2014.49882459
2010-04-28 07:00:00,2021.32829562,2028.54802213,2008.2547368,2012.7426749
2010-04-29 07:00:00,2023.27957306,2042.01183644,2021.91367885,2042.01183644
2010-04-30 07:00:00,2043.96311387,2053.13411782,2032.450577,2038.30440931
2010-05-04 07:00:00,2020.74291239,2037.91415382,1967.66816614,1970.59508229
2010-05-05 07:00:00,1998.10809414,1998.10809414,1919.86186896,1943.47232594
2010-05-06 07:00:00,1933.52081101,1951.47256342,1918.6911025,1920.4472522
2010-05-07 07:00:00,1920.64237994,1945.81385886,1872.44582728,1900.54422235
2010-05-10 07:00:00,1974.69276491,1995.57143347,1961.2289506,1979.37583075
2010-05-11 07:00:00,1980.9368527,2000.6447548,1962.78997255,1976.25378686
2010-05-12 07:00:00,1962.20458932,2001.81552126,1956.7410125,1996.35194444
2010-05-13 07:00:00,2012.7426749,2029.32853311,2011.96216393,2029.32853311
2010-05-14 07:00:00,2027.37725567,2028.15776664,1978.20506429,1980.9368527
2010-05-17 07:00:00,1978.59531978,2008.64499229,1978.20506429,1981.32710819
2010-05-18 07:00:00,2004.54730967,2013.71831362,1995.37630573,2005.52294839
2010-05-19 07:00:00,1978.40019203,1981.32710819,1920.83750768,1927.08159548
2010-05-20 07:00:00,1925.32544578,1927.08159548,1861.12841815,1870.2994221
2010-05-21 07:00:00,1859.17714071,1886.29989707,1834.20078954,1882.59246994
2010-05-24 07:00:00,1894.30013456,1917.52033604,1884.54374738,1899.95883912
2010-05-25 07:00:00,1841.61564379,1841.61564379,1815.46852616,1819.95646426
2010-05-26 07:00:00,1854.30705497,1896.26325182,1851.36620005,1886.26434509
2010-05-27 07:00:00,1891.75394094,1934.69042276,1891.75394094,1924.49545904
2010-05-28 07:00:00,1940.96424659,1948.41441238,1928.41659893,1932.53379582
2010-06-01 07:00:00,1933.3180238,1933.3180238,1888.42097203,1907.43850051
2010-06-02 07:00:00,1882.93137618,1917.04529324,1873.91275443,1914.10443832
2010-06-03 07:00:00,1934.88647975,1952.13949528,1933.1219668,1933.1219668
2010-06-04 07:00:00,1935.27859374,1947.04201342,1900.18439171,1910.57541242
2010-06-07 07:00:00,1892.73422591,1903.12524663,1877.63783733,1885.67617411
2010-06-08 07:00:00,1900.18439171,1901.75284766,1879.79446427,1892.73422591
2010-06-09 07:00:00,1904.69370258,1915.0847233,1888.61702903,1915.0847233
2010-06-10 07:00:00,1889.597314,1922.92700308,1888.61702903,1918.02557822
2010-06-11 07:00:00,1921.35854713,1945.27750047,1917.04529324,1944.88538648
2010-06-14 07:00:00,1949.19864036,1958.41331911,1948.02229839,1955.86457818
2010-06-15 07:00:00,1942.53270254,1960.37388905,1938.02339167,1951.74738129
2010-06-16 07:00:00,1989.58638125,1989.58638125,1957.04092014,1973.1175937
2010-06-17 07:00:00,1981.74410146,1985.66524136,1964.49108594,1969.00039681
2010-06-18 07:00:00,1967.43194086,1986.44946933,1967.43194086,1986.44946933
2010-06-21 07:00:00,2019.58310142,2037.03217394,2019.58310142,2036.83611695
2010-06-22 07:00:00,2026.83721022,2029.18989416,2006.64333978,2009.3881377
2010-06-23 07:00:00,1986.64552633,1997.62471803,1960.76600304,1965.8634849
2010-06-24 07:00:00,1968.60828283,1976.45056261,1932.33773882,1934.10225177
2010-06-25 07:00:00,1933.51408079,1953.51189424,1933.51408079,1934.49436576
2010-06-28 07:00:00,1943.70904451,1956.64880615,1938.21944866,1938.21944866
2010-06-29 07:00:00,1906.06610155,1906.06610155,1869.59950055,1871.3640135
2010-06-30 07:00:00,1881.95109121,1893.71451089,1879.99052126,1887.63674405
2010-07-01 07:00:00,1889.98942799,1889.98942799,1810.78240217,1816.07594102
2010-07-02 07:00:00,1842.93574928,1855.09128295,1832.54472857,1841.56335032
2010-07-05 07:00:00,1858.62030885,1858.62030885,1846.85688918,1851.75831404
2010-07-06 07:00:00,1859.99270781,1895.47902384,1859.79665082,1895.08690985
2010-07-07 07:00:00,1846.85688918,1896.45930881,1846.85688918,1893.71451089
2010-07-08 07:00:00,1906.65427253,1926.84814297,1904.49764559,1913.90838133
